USUARIO ;SENHA
KIM;KITKAT.!
JOAO;BARBOSA12
MANOLO;SOTRM123
ADMIN;NIMDA
USER1;A1B2C3D4
USER2;A1B2C3D5
USER3;A1B2C3D6
USER4;A1B2C3D7
USER5;A1B2C3D8
USER6;A1B2C3D9
USER7;A1B2C3D10
USER8;A1B2C3D11
USER9;A1B2C3D12
USER10;A1B2C3D13
USER11;A1B2C3D14
USER12;A1B2C3D15
USER13;A1B2C3D16
USER14;A1B2C3D17
USER15;A1B2C3D18
USER16;A1B2C3D19
USER17;A1B2C3D20
USER18;A1B2C3D21
USER19;A1B2C3D22
USER20;A1B2C3D23
USER21;A1B2C3D24
USER22;A1B2C3D25
USER23;A1B2C3D26
USER24;A1B2C3D27
USER25;A1B2C3D28
USER26;A1B2C3D29
USER27;A1B2C3D30
USER28;A1B2C3D31
USER29;A1B2C3D32
USER30;A1B2C3D33
USER31;A1B2C3D34
USER32;A1B2C3D35
USER33;A1B2C3D36
USER34;A1B2C3D37
USER35;A1B2C3D38
USER36;A1B2C3D39
USER37;A1B2C3D40
USER38;A1B2C3D41
USER39;A1B2C3D42
USER40;A1B2C3D43
USER41;A1B2C3D44
USER42;A1B2C3D45
USER43;A1B2C3D46
USER44;A1B2C3D47
USER45;A1B2C3D48
USER46;A1B2C3D49
